,security_type,symbol,name,primary_exchange,currency,sector
sec-s-4e75e27f8feb47cda4456e42c3e425cb,exchange_traded_fund,ATSX,Accelerate Enhanced Benchmark Alternative Fund,TSX,CAD,
sec-s-5bc843ebd8b84ade9002dbf9f587b27f,exchange_traded_fund,PBI.B,Purpose Best Ideas Fund ETF non-currency hedged shares,TSX,CAD,ETFs
sec-s-f75cd5798a5b44dc9798f7dc89705d2e,exchange_traded_fund,HEU,BetaPro S&P/TSX Capped Energy 2x Daily Bull ETF,TSX,CAD,
sec-s-e6db75beadc640a3b3f86dd77e2c96b1,exchange_traded_fund,HMJI,BetaPro Marijuana Companies Inverse ETF,TSX,CAD,
sec-s-80e44c3265094dbca11cea59ea7d0cca,exchange_traded_fund,HQD,BetaPro NASDAQ-100 -2x Daily Bear ETF NEW,TSX,CAD,
sec-s-7cff8e563fd147268bde16e2ecfe4b6e,exchange_traded_fund,HMJU,BetaPro Marijuana Companies 2x Daily Bull ETF,TSX,CAD,
sec-s-b6fcbfb14a7d424498f95456f11022d7,exchange_traded_fund,HBIT,BetaPro Bitcoin ETF,TSX,CAD,
sec-s-96f6de8002cd4fe3a9fd4f2962edc436,exchange_traded_fund,HOU,BetaPro Crude Oil Leveraged Daily Bull ETF,TSX,CAD,
sec-s-93183e3197a7458f985b5e9ba46b8a53,exchange_traded_fund,HREU,BetaPro Equal Weight Canadian REIT 2x Daily Bull ETF,TSX,CAD,
sec-s-bc179a31a3ad46049c1248968d34d237,exchange_traded_fund,HED,BetaPro S&P/TSX Capped Energy -2x Daily Bear ETF,TSX,CAD,
sec-s-11e95fe8275c4c73ad5904b90e113c8d,exchange_traded_fund,HQU,BetaPro NASDAQ-100 2x Daily Bull ETF,TSX,CAD,
sec-s-0ddbcab14134413db1ef44bba4364489,exchange_traded_fund,BITI,BetaPro Inverse Bitcoin ETF,TSX,CAD,
sec-s-05f5cf57732e4c01af2411ece3bd5d6f,exchange_traded_fund,HSU,BetaPro S&P 500 2x Daily Bull ETF,TSX,CAD,
sec-s-0238314781764d949e197d10dd073a10,exchange_traded_fund,HNU,BetaPro Natural Gas Leveraged Daily Bull ETF,TSX,CAD,
sec-s-09742546e008479c97bdbc437655935e,exchange_traded_fund,HIX,BetaPro S&P/TSX 60 Daily Inverse ETF NEW,TSX,CAD,
sec-s-7244a11c3d5b41149b88b63ed8799acc,exchange_traded_fund,HGD,BetaPro Canadian Gold Miners -2x Daily Bear ETF,TSX,CAD,
sec-s-8899658ff7c64050b0a5360c6dc0199f,exchange_traded_fund,HUV,BetaPro S&P 500 VIX ShortTerm Futures ETF,TSX,CAD,Fractional Trading
sec-s-62964d97a959454baf83f9bfcbfe09d3,exchange_traded_fund,HIU,Betapro S&P 500 Daily Inverse ETF - ETF Shares,TSX,CAD,
sec-s-660d8eee57044191ba9a543fb371a7cd,exchange_traded_fund,HFD,BetaPro S&P/TSX Capped Financials -2x Daily Bear ETF,TSX,CAD,
sec-s-66985d5bd0d8425885e53bbaf7b7529b,exchange_traded_fund,HBU,BetaPro Gold Bullion 2x Daily Bull ETF,TSX,CAD,
sec-s-fb6313ea23e64b739a3e7c6e0486b5e7,exchange_traded_fund,HRED,BetaPro Equal Weight Canadian REIT -2x Daily Bear ETF,TSX,CAD,
sec-s-d18320be7641406a9a6fdb912a56de1f,exchange_traded_fund,PBI,Purpose Best Ideas Fund,TSX,CAD,ETFs
sec-s-7bac48b282ee46319efa3e2b9ad136c9,exchange_traded_fund,BGC,Bristol Gate Concentrated Canadian Equity ETF,TSX,CAD,ETFs
sec-s-b043e1975fca4ef38ba615c0cf8f1e08,exchange_traded_fund,BGU,Bristol Gate Concentrated US Equity ETF,TSX,CAD,
sec-s-47c81849db2e4187ae16cd08fcd8f917,exchange_traded_fund,BHAV,Purpose Behavioural Opportunities Fund,AEQUITAS NEO EXCHANGE,CAD,
sec-s-0ddbcab14134413db1ef44bba4364489,exchange_traded_fund,BITI,BetaPro Inverse Bitcoin ETF,TSX,CAD,
sec-s-2f335b460b364fdbb3591b3ae7701dea,exchange_traded_fund,FBTC,Fidelity Advantage Bitcoin ETF - Series L,TSX,CAD,
sec-s-5a014f28fa614ab08836a27b99a61e0b,exchange_traded_fund,PRM,Big Pharma Split Corp - Ordinary Shares - Class A,TSX,CAD,Finance
sec-s-3e9d0043cc4f4a26b7dc52f13408784d,exchange_traded_fund,CDNA,CI Bio-Revolution ETF,TSX,CAD,Newly listed
sec-s-ddf8590f2b914e749dd19e3867b8a18c,exchange_traded_fund,EBIT,Bitcoin ETF CAD Unhedged,TSX,CAD,
sec-s-03c4b10c7ca2421ab653604a0622941d,exchange_traded_fund,BTCX.B,CI Galaxy Bitcoin ETF CAD Unhedged,TSX,CAD,
sec-s-7c6d01202afc4fa1a8084c55dfd08c32,exchange_traded_fund,BTCC.B,Purpose Bitcoin ETF CAD ETF non-currency hedged units,TSX,CAD,
sec-s-7181e83d635b45888d3cbe43831ec1c6,exchange_traded_fund,BTCQ,3iQ CoinShares Bitcoin ETF,TSX,CAD,
sec-s-6685f9e45b064b3687a2ad458415372e,exchange_traded_fund,EAAI,Emerge Ark A.I. & Big Data ETF,AEQUITAS NEO EXCHANGE,CAD,
sec-s-b6fcbfb14a7d424498f95456f11022d7,exchange_traded_fund,HBIT,BetaPro Bitcoin ETF,TSX,CAD,
sec-s-5003c639b38349baa9a4724ba2dccbd6,exchange_traded_fund,BKL.C,Invesco Senior Loan Index ETF CAD,TSX,CAD,
sec-s-24a61119ec284b3f891bb41393044abb,exchange_traded_fund,BKL.F,Invesco Senior Loan Index ETF,TSX,CAD,ETFs
sec-s-daddc661c2ce4979b712aad079974274,exchange_traded_fund,BLCK,First Trust Indxx Innovative Transaction and Process ETF,TSX,CAD,ETFs
sec-s-f15939afc5304a45bdbcc3593b1487bf,exchange_traded_fund,BLOV,Brompton North American Low Volatility Dividend ETF,TSX,CAD,
