,security_type,symbol,name,primary_exchange,currency,sector
sec-s-325ee6d304c04c18900e7fe8edbb4cd1,equity,VOL,Volatus Aerospace Corp,TSX-V,CAD,
sec-s-14cfd798b5ed41af9ff6951b624eced3,equity,FLY,FLYHT Aerospace Solutions Ltd,TSX-V,CAD,
sec-s-91dacfc914b24659aec8043e8ccfb40e,equity,ARE,Aecon Group Inc.,TSX,CAD,"Construction, Engineering"
sec-s-4dad4bba2190457aab881988fb2d7f81,equity,AQS,Aequus Pharmaceuticals Inc,TSX-V,CAD,
sec-s-7fa694e6cccd44c69aec75f05d017c08,equity,AFE,Africa Energy Corp,TSX-V,CAD,
sec-s-193c2485835e47028001e2d0352f66bd,equity,AFR,AFR NuVenture Resources Inc,TSX-V,CAD,
sec-s-ffb70ed7e7f94ed2892ac8944f89f0ad,equity,AFI,Affinor Growers Inc,CSE,CAD,
sec-s-36d6a621934f4969ad6627f96bfbadf8,equity,AFF,Affinity Metals Corp,TSX-V,CAD,
sec-s-7a023fdee8c546169eef059212b16307,equity,AFX,Arctic Fox Ventures Inc,CSE,CAD,
sec-s-6e9dd7ab47944bc4adcb628e1ed3a5e1,equity,AFN,Ag Growth International Inc,TSX,CAD,"Manufacturing, Machinery, Engineering"
sec-s-b66fe49da8d4493c98096497f114085f,equity,AFCC.H,Automotive Finco Corp,TSX-V,CAD,Finance
sec-s-f0155ea17e124e2eac573c41f8c55b8f,equity,AFM,Alphamin Resources Corp,TSX-V,CAD,
sec-s-86fea63c6db842c184320ddcf27cc50d,equity,CUCO,African Energy Metals Inc.,TSX-V,CAD,
sec-s-66d44f21f0f14d59a0762424b6c0efa5,equity,EAM,East Africa Metals Inc,TSX-V,CAD,
sec-s-777ab96636a640f08fabdce35e3afcf0,equity,SPX,Stellar AfricaGold Inc,TSX-V,CAD,
sec-s-a05979954db3476a832954f7874441c9,equity,AOI,Africa Oil Corp,TSX,CAD,"Energy, Oil and Gas"
sec-s-b966742733804dfbada0cb9069d16cbb,equity,RECO,Reconnaissance Energy Africa Ltd,TSX-V,CAD,
sec-s-eaebeee1f8454af4befdd21a926e9d30,equity,AGG,African Gold Group Inc.,TSX-V,CAD,"Mining, Materials"
sec-s-53e794b6e5a34c548a287d2e616a6727,equity,CRP,Ceres Global Ag Corp,TSX,CAD,
sec-s-2b7255311f9d4863aaf96a585bc44ce5,equity,AGRA,Agra Ventures Ltd,CSE,CAD,
sec-s-e429edff28c6430d894e82d4ef8f58b6,equity,AGF.B,AGF Management Ltd. (Class B),TSX,CAD,Finance
sec-s-ec59201333514a50a4146814fd8c2a48,equity,AGL,Aguila Copper Corp,TSX-V,CAD,
sec-s-ba9b497e21d1405781d1072362ddb5d6,equity,AGMR,Silver Mountain Resources Incorporation (Class A),TSX-V,CAD,
sec-s-e5c9751246334c26ad191c8ff4fa5910,equity,AGO,AurCrest Gold Inc,TSX-V,CAD,
sec-s-0cb8bac92826416e88f3d10ebfeb3458,equity,AG.UN,Arctic Glacier Income Fund,CSE,CAD,
sec-s-98f4ea269b7f45e7b8cc7b7ebacffde7,equity,AGD,Antioquia Gold Inc,TSX-V,CAD,
sec-s-ea1712120a7643e8a6bff718de28b01e,equity,AGX,Silver X Mining Corp,TSX-V,CAD,
sec-s-fcb298514a8d4f51b553077e72d4cbf6,equity,AGH.H,Canadian Silver Hunter Inc,TSX-V,CAD,
sec-s-2135963c365b402cabcbbb8c96f8bfc3,equity,SAI.H,Sunshine Agri-Tech Inc,TSX-V,CAD,
sec-s-471c576bf9a840acb4176dec0974a65d,equity,NAM,New Age Metals Inc,TSX-V,CAD,
sec-s-b626cb6e72d24780b72943f3cc406471,equity,NPK,Verde Agritech Plc,TSX,CAD,
sec-s-f2ee788565aa47b4ac7f62e9439d548b,equity,MARY,Mary Agrotechnologies Inc,CSE,CAD,
sec-s-9e48ed086dd5428ba6b120dca3c573e4,equity,AH,Aleafia Health Inc.,TSX,CAD,"Manufacturing, Cannabis, Healthcare"
sec-s-27ca45a3fdd9433f84822e021c861645,equity,AHE.H,American Helium Inc.,TSX-V,CAD,
sec-s-fb67c54807bd4ae0b9f7902001ebfcc5,equity,AHR,Amarc Resources Ltd.,TSX-V,CAD,
sec-s-1ee91a5a7adc44a88ff438e05d9e3b2b,equity,AI,Atrium Mortgage Investment Corporation,TSX,CAD,Finance
