,security_type,symbol,name,primary_exchange,currency,sector
sec-s-412f6aa6c06d4c13a1e020534bdd84e4,equity,AMD,Advanced Micro Devices Inc.,NASDAQ,USD,"Fractional Trading, Manufacturing, Electronics, Semiconductors, Software, Engineering, Technology"
sec-s-24441ed833594cd4bbb3c48592654986,equity,LAMR,Lamar Advertising Co (Class A),NASDAQ,USD,Advertising and Marketing
sec-s-3f984a140d164a45bde082b8cad1050b,equity,AERI,Aerie Pharmaceuticals Inc,NASDAQ,USD,"Manufacturing, Healthcare, Pharmaceuticals"
sec-s-78b19934462d423fac25c3e1cee05ea5,equity,AEHR,Aehr Test Systems,NASDAQ,USD,"Manufacturing, Machinery, Electronics, Engineering, Technology"
sec-s-d0a6afbe4f9442b1a6f0653dd69b15e6,equity,AEMD,Aethlon Medical Inc,NASDAQ,USD,"Manufacturing, Electronics, Healthcare, Technology"
sec-s-0b6897333a7246f180105b344c8ff835,equity,AEI,Alset EHome International Inc,NASDAQ,USD,
sec-s-3454089dd25b420d84a049a9d215227f,equity,AEY,Addvantage Technologies Group,NASDAQ,USD,"Manufacturing, Electronics, Retail, Consumer Products"
sec-s-80a687f3b6ea450e91646fed3fbc188d,equity,AEIS,Advanced Energy Industries Inc.,NASDAQ,USD,"Manufacturing, Machinery, Electronics, Engineering, Technology"
sec-s-80bfd98bd51042d59ec0108dca495fa8,equity,AESE,Allied Esports Entertainment Inc.,NASDAQ,USD,
sec-s-1270c6de00df4695a1c8e838f3c113a8,equity,AEP,American Electric Power Company Inc.,NASDAQ,USD,"Fractional Trading, Energy, Utilities"
sec-s-ca4faab8ac914134983cd8eed6470a43,equity,AEYE,AudioEye Inc,NASDAQ,USD,
sec-s-2e6eb9cc5e834391ae67d2f7b50d197c,equity,AEHL,Antelope Enterprise Holdings Limited,NASDAQ,USD,
sec-s-c5cc3d899adc4c8583aa4fe8153ea0ac,equity,OMAB,Grupo Aeroportuario del Centro Norte S.A.B de C.V.,NASDAQ,USD,"Logistics, Transportation"
sec-s-170f260b69dd447691689f2f49f604e5,equity,AVAV,AeroVironment Inc.,NASDAQ,USD,"Manufacturing, Aerospace and Defence, Engineering"
sec-s-bc162e1db0ae4e19b7502603b81f56cc,equity,AFRM,Affirm Holdings Inc (Class A),NASDAQ,USD,Fractional Trading
sec-s-20abc1b32c7246d6871d8712ff835c46,equity,AFBI,Affinity Bancshares Inc,NASDAQ,USD,
sec-s-fd7a36e962aa420fb0e31011dccd1368,equity,VJET,Voxeljet AG,NASDAQ,USD,
sec-s-efd507e0264541a8bce9cb95a1aa0a81,equity,CRSP,CRISPR Therapeutics AG,NASDAQ,USD,
sec-s-005c3b26e2074e599588fb8d5333f25c,equity,AGEN,Agenus Inc,NASDAQ,USD,"Manufacturing, Healthcare, Biotech"
sec-s-fc3d4b427f0447f3b0757998a6948d1f,equity,AGYS,Agilysys Inc.,NASDAQ,USD,"Software, Internet, Technology"
sec-s-723ac442ad434491b33d1a306e1161f2,equity,AGNC,AGNC Investment Corp,NASDAQ,USD,"Real Estate, Finance, Banking"
sec-s-647139dd458242d285c672bb82229c45,equity,SEED,Origin Agritech Li,NASDAQ,USD,
sec-s-17b1edc4b40a412aa5969048292cd6a1,equity,AHPI,Allied Healthcare Product Inc.,NASDAQ,USD,"Manufacturing, Healthcare, Engineering, Technology"
sec-s-5587100f8a2548269384f974ae914a89,equity,AIRS,Airsculpt Technologies Inc.,NASDAQ,USD,
sec-s-cecea2e9571349b29ecccd485e30f66a,equity,AIRT,Air T Inc,NASDAQ,USD,
sec-s-7c4078f7db1543a1bacbf60ae7bad7f2,equity,AIKI,AIkido Pharma Inc,NASDAQ,USD,
sec-s-d17256b1e03b47db8d8d372f7482f173,equity,AIMC,Altra Industrial Motion Corp,NASDAQ,USD,"Manufacturing, Machinery, Engineering"
sec-s-1f5343306aaf40459504a39adb08b227,equity,ABNB,Airbnb Inc (Class A),NASDAQ,USD,Fractional Trading
sec-s-29672da3e63d4b85a834e0fb26d319c3,equity,FWRD,Forward Air Corp.,NASDAQ,USD,"Logistics, Transportation"
sec-s-6df8227cd6724ce0847aa7fe3d976526,equity,AAWW,Atlas Air Worldwide Holdings Inc.,NASDAQ,USD,"Logistics, Transportation"
sec-s-e9d8dc3b6cfc409499224ab8b2971265,equity,ATSG,Air Transport Services Group Inc,NASDAQ,USD,"Logistics, Transportation"
sec-s-440a8c71825b4783aa025e78c7a3af6f,equity,SNCY,Sun Country Airlines Holdings Inc,NASDAQ,USD,
sec-s-a2ddedfee7c745409427e4165f4c840d,equity,XAIR,Beyond Air Inc,NASDAQ,USD,
sec-s-99fa790efcea4593b1ce8584906102b5,equity,UAL,United Airlines Holdings Inc,NASDAQ,USD,"Fractional Trading, Travel, Transportation"
sec-s-aee36cd4dd0e4082baf594627c9a5f99,equity,ANTE,AirNet Technology Inc,NASDAQ,USD,Advertising and Marketing
sec-s-9b34117c0aff44278dfceff0769b9e18,equity,AKBA,Akebia Therapeutics Inc.,NASDAQ,USD,
sec-s-7151cd8bce85405085aa9142511c3cb9,equity,AKTX,Akari Therapeutics Plc,NASDAQ,USD,"Healthcare, Pharmaceuticals, Biotech"
sec-s-85b1e9c0b0164c5789ade634a0904443,equity,AKYA,Akoya Biosciences Inc,NASDAQ,USD,
sec-s-48bc0f0522a24fb6b7b00c3013f22208,equity,AKAM,Akamai Technologies Inc,NASDAQ,USD,"Software, Internet, Technology"
sec-s-1389ae44aad34002804a036e3a3ac839,equity,ALVR,AlloVir Inc,NASDAQ,USD,
sec-s-2107796b9bdc450b9e42b50fa76a0400,equity,ALGN,"Align Technology, Inc.",NASDAQ,USD,"Fractional Trading, Manufacturing, Healthcare, Engineering, Technology"
sec-s-290fad2820fd4864852de61847426f08,equity,ALR,AlerisLife Inc,NASDAQ,USD,
sec-s-5296c08b674a43fba060c67ab77711a3,equity,ALBO,Albireo Pharma Inc.,NASDAQ,USD,"Manufacturing, Healthcare, Pharmaceuticals"
sec-s-6217a95b9acf41e19f3c2c3baf5387d0,equity,ALT,Altimmune Inc,NASDAQ,USD,
sec-s-3253f2d76ff749a5b699b3af83e83b86,equity,ALTO,Alto Ingredients Inc,NASDAQ,USD,
sec-s-5c3e5a249ee342b090b85f230dc52f39,equity,ALGT,Allegiant Travel Company,NASDAQ,USD,"Travel, Transportation"
sec-s-eb872727782d483c9f7e0e3ac3f171be,equity,ALRS,Alerus Financial Corp,NASDAQ,USD,Finance
sec-s-ce23cc0e3b8147f1883e6be5dd9c7a48,equity,ALGM,Allegro Microsystems Inc.,NASDAQ,USD,
sec-s-8097b795502045b2ab0af96de35333e3,equity,ALKT,Alkami Technology Inc,NASDAQ,USD,
sec-s-9a90c30da2dd4a25b4bba1217faecf1b,equity,ALHC,Alignment Healthcare Inc,NASDAQ,USD,
sec-s-125d20e3b4bd431590b4b8f3d527c903,equity,ALDX,Aldeyra Therapeutics Inc,NASDAQ,USD,"Manufacturing, Healthcare, Biotech"
sec-s-6ff0c91ec8384a4abc7f61d6bd7be121,equity,ALCO,Alico Inc.,NASDAQ,USD,
sec-s-d672110bebf442258d4944e7b7ed20ea,equity,ALNY,Alnylam Pharmaceuticals Inc,NASDAQ,USD,"Fractional Trading, Manufacturing, Healthcare, Biotech"
sec-s-8ff15ac450084ca6827d588c93dc201f,equity,ALF,ALFI Inc,NASDAQ,USD,
sec-s-91a39f938b464d2f8fd30f17402ea27c,equity,ALJJ,Alj Regional Holdings Inc,NASDAQ,USD,
sec-s-ca2d794db3944b1f9dfc68f180ce2001,equity,ALOT,Astronova Inc.,NASDAQ,USD,"Manufacturing, Electronics, Technology"
sec-s-0b6897333a7246f180105b344c8ff835,equity,AEI,Alset EHome International Inc,NASDAQ,USD,
sec-s-32d7a858ca0e402ea888b8bf615c55bd,equity,CENX,Century Aluminum Co.,NASDAQ,USD,"Manufacturing, Materials"
sec-s-0310022e5fbb4b9ca51975e2f5cb3493,equity,TCRT,Alaunos Therapeutics Inc.,NASDAQ,USD,"Manufacturing, Healthcare, Biotech"
sec-s-80bfd98bd51042d59ec0108dca495fa8,equity,AESE,Allied Esports Entertainment Inc.,NASDAQ,USD,
sec-s-790ac697e71d4f93a6460b7ff3a454a9,equity,ARLP,"Alliance Resource Partners, LP",NASDAQ,USD,"Energy, Mining, Materials"
sec-s-124b28c77ae64653b652705b0e6c8a8d,equity,AMBA,Ambarella Inc,NASDAQ,USD,"Manufacturing, Semiconductors, Engineering, Technology"
sec-s-2489c312ee224708b142b1fd82d2c307,equity,AMPH,Amphastar Pharmaceuticals Inc,NASDAQ,USD,"Manufacturing, Healthcare, Pharmaceuticals"
sec-s-2cc91c683bd341808e6bb4474bfd4b86,equity,AMST,Amesite Inc.,NASDAQ,USD,
sec-s-53db61b4184e4944a43ed3e7936a2409,equity,AMYT,Amryt Pharma Plc,NASDAQ,USD,
