,security_type,symbol,name,primary_exchange,currency,sector
sec-s-f70cbdd6fb36420ba821e9dc1e43a8b6,equity,AIN,Albany International Corp. (Class A),NYSE,USD,"Manufacturing, Apparel and Footwear, Fashion and Jewelry, Consumer Products"
sec-s-3771be0d2d594050b097f0ed106fc7fb,equity,AIRC,Apartment Income REIT Corp (Class A),NYSE,USD,Fractional Trading
sec-s-a6313b3e22724201896aaa0a603d2751,equity,AIZ,Assurant Inc,NYSE,USD,"Finance, Insurance"
sec-s-05138233d9524e079668879d9fc7a41f,equity,AIR,AAR Corp.,NYSE,USD,"Manufacturing, Aerospace and Defence, Engineering"
sec-s-40373b68cd6b405881f267e8148f7891,equity,ALK,Alaska Air Group Incorporation,NYSE,USD,"Travel, Transportation"
sec-s-6311110e84724648a6f18830bf0cf9b3,equity,LUV,Southwest Airlines Co,NYSE,USD,Fractional Trading
sec-s-9edc972aedd342dc813fbb313f41f4e6,equity,DAL,"Delta Air Lines, Inc.",NYSE,USD,"Fractional Trading, Travel, Transportation"
sec-s-8390686e6ff34dd58e659fb0481a8368,equity,MIMO,Airspan Networks Holdings Inc,NYSE,USD,
sec-s-e2a91542306d4db09a674850a297ac2b,equity,AL,Air Lease Corp (Class A),NYSE,USD,"Logistics, Transportation"
sec-s-f3593f2623734d44bcdb2b9bd990c470,equity,SEE,Sealed Air Corporation,NYSE,USD,"Manufacturing, Materials"
sec-s-d46b412967ae44bd8895b3030b5f4ee3,equity,RAD,Rite Aid Corp.,NYSE,USD,"Healthcare, Pharmaceuticals, Retail, Consumer Products"
sec-s-4695b567ab1c46f4a1c35e0ea54139f9,equity,ZNH,China Southern Airlines Company Ltd.,NYSE,USD,"Travel, Transportation"
sec-s-a33b27ca4d9b48588a89b5ec97eb041e,equity,WAB,Westinghouse Air Brake Technologies Corp,NYSE,USD,"Manufacturing, Machinery, Transportation"
sec-s-ad22fe1574bb4e26b46cd40800788a81,equity,CEA,China Eastern Airlines Corporation Ltd.,NYSE,USD,
sec-s-8d9881714bce4d4699d741fd8fa33c5d,equity,APD,Air Products & Chemicals Inc.,NYSE,USD,"Fractional Trading, Manufacturing, Materials"
sec-s-6258de2186c846b4a6491a7b8f1aa87f,equity,AJG,Arthur J. Gallagher & Co.,NYSE,USD,"Consulting, Finance, Insurance"
sec-s-cddd0b6be7994699a3154434877be637,equity,AJRD,Aerojet Rocketdyne Holdings Inc,NYSE,USD,"Manufacturing, Aerospace and Defence, Electronics, Real Estate, Finance, Engineering"
sec-s-fa98c79fb7b146529051b858fadfe9f9,equity,AKR,Acadia Realty Trust,NYSE,USD,"Real Estate, Finance"
sec-s-5978743aff524a14bcae00687a0a735e,equity,AKA,a.k.a. Brands Holding Corp,NYSE,USD,
sec-s-e2a91542306d4db09a674850a297ac2b,equity,AL,Air Lease Corp (Class A),NYSE,USD,"Logistics, Transportation"
sec-s-16e4d76823fd4531a9f6878df22f24ea,equity,ALLY,Ally Financial Inc,NYSE,USD,
sec-s-2dbbf889cfa14e02b2393efbf5af789f,equity,ALE,"Allete, Inc.",NYSE,USD,"Energy, Clean Energy, Oil and Gas, Utilities"
sec-s-3b0a82030e904548a8fc7e24a874dd76,equity,ALSN,Allison Transmission Holdings Inc,NYSE,USD,"Manufacturing, Machinery, Transportation"
sec-s-40373b68cd6b405881f267e8148f7891,equity,ALK,Alaska Air Group Incorporation,NYSE,USD,"Travel, Transportation"
sec-s-dfc43de4f6f04111b5504d49f75bb66d,equity,ALC,Alcon AG,NYSE,USD,"Consulting, Healthcare"
sec-s-e661d8edd8454711b778b117ccbb88c7,equity,ALLE,Allegion plc,NYSE,USD,
sec-s-eabc7b7164e84b6ca0c91b0c8e4c2de9,equity,ALG,Alamo Group Inc.,NYSE,USD,"Manufacturing, Machinery, Agriculture"
sec-s-1957fa4f2e664bb8899a2b8d3ce1c2d1,equity,ALX,Alexander`s Inc.,NYSE,USD,
sec-s-863cba6981eb4a909c84b1521a818200,equity,ALL,The Allstate Corporation,NYSE,USD,"Fractional Trading, Finance, Insurance"
